Unnamed: 0,word,meaning
2736,vilify,"if something bad or unpleasant is ___, there is a lot of it"
2737,winnow,A pretentious attitude of scholarship; superficial knowledgeability.
2738,wordy,Enthusiastic and determined.
2739,abysmal,"Determined not to complain or show your feelings, especially when something bad happens to you."
2740,benison,Presumptuously or recklessly daring
2741,bowdlerize,"A long, angry speech expressing strong disapproval."
2742,bracing,"If you are uneasy, you are slightly worried or uncomfortable about a particular situation."
2743,castigate,"To say or write unpleasant things about someone or something, in order to cause other people to have a bad opinion of them."
2744,conceit,to remove the outer cover from grain
2745,concomitant,"using more words than are necessary, especially long or formal words"
2746,depreciate,extremely bad or low in quality
2747,diadem,A blessing; a benediction.
2748,diffuse,"To remove words or parts from a book, play, or film that are considered to be unsuitable or offensive."
2749,flagrant,(especially of air or an activity) healthy and fresh.
2750,flimsy,To criticize someone or something severely.
2751,impugn,The state of being too proud of yourself and your actions.
2752,intricate,Something that happens with something else and is connected with it.
2753,irascible,"To (cause something to) lose value, especially over time."
2754,kooky,A small crown (= circular decoration for the head) with jewels in it.
2755,light-hearted,To (cause something to) spread in many directions.
2756,luminous,done in an obvious way that shows you do not care if you break rules or offend people
2757,macerate,"Very thin, or easily broken or destroyed."
2758,manqué,"To cause people to doubt someone's character, qualities, or reputation by criticizing them."
2759,oeuvre,"Having a lot of small parts or details that are arranged in a complicated way and are therefore sometimes difficult to understand, solve, or produce."
2760,omnivorous,Made angry easily.
2761,perorate,"(especially of a person) strange in their appearance or behaviour, especially in a way that is interesting."
2762,shantung,Happy and not serious.
2763,sinuous,Producing or reflecting bright light (especially in the dark).
2764,spelunker,"To leave food in a liquid so that it absorbs the liquid and becomes soft, or to become soft in this way."
2765,sullen,a failure to realize one's aspirations
2766,supercilious,"The complete works of a writer, painter, or other artist."
2767,supervene,Naturally able to eat both plants and meat.
2768,turpitude,"To speak at great length, often in a grandiloquent manner; declaim."
2769,unspeakable,"A heavy fabric with a rough nubby surface, made of spun wild silk."
2770,workmanship,"Moving in a twisting, curving, or indirect way, or having many curves."
2771,youthful,One who explores caves chiefly as a hobby; a caver.
2772,ziggurat,Angry and unwilling to smile or be pleasant to people.
2773,bound,"Behaving as if you are better than other people, and that their opinions, beliefs, or ideas are not important."
2774,accretion,"To follow immediately after; ensue.; To come or occur as something extraneous, additional, or unexpected. See Synonyms at follow."
2775,adjacent,behaviour that is dishonest or immoral; evil
2776,anecdotal,Too bad or shocking to be expressed in words.
2777,antedate,The skill with which something was made or done.
2778,augment,Having the qualities that are typical of young people.
2779,bipartite,"(in ancient Mesopotamia) a rectangular stepped tower, sometimes surmounted by a temple."
2780,bona fide,Certain or extremely likely to happen.
2781,circumvent,A gradual increase or growth by the addition of new layers or parts.
2782,corollary,"Very near, next to, or touching."
2783,cumbersome,based on someone's personal experience or information rather than on facts that can be checked
2784,cutoff,Formal for predate.
2785,fission,To increase the size or value of something by adding something to it.
2786,iconoclastic,"consisting of or involving two people, things, or groups"
2787,indispensable,Made or carried out in good faith; sincere; Authentic; genuine
2788,instantaneous,"To avoid something, especially cleverly or illegally."
2789,intramural,Something that results from something else.
2790,locus,"Awkward because of being large, heavy, or not effective."
2791,lynch,The act of stopping the supply of something.; a level or limit at which something stops
2792,modulate,the process of dividing an atom in order to create energy
2793,penchant,Strongly opposing generally accepted beliefs and traditions.
2794,pertinent,difficult or impossible to exist without or to do something without
2795,presuppose,"Happening immediately, without any delay."
2796,promiscuous,"Happening within or involving the members of one school, college, or university."
2797,putative,The place where something happens or the central area of interest in something being discussed.
2798,radial,"to kill someone by hanging them by the neck, even though they have not been proved guilty of any crime"
2799,rationale,"To change the style, loudness, etc. of something such as your voice in order to achieve an effect or express an emotion."
2800,conceptualize,"A liking for, an enjoyment of, or a habit of doing something, especially something that other people might not like."
2801,splice,Relating directly to the subject being considered.
2802,supersede,To accept that something is true before it has been proved.
2803,synergy,demonstrating or implying an undiscriminating or unselective approach; indiscriminate or casual.
2804,tracing,"Generally thought to be or to exist, even if this may not really be true."
2805,traverse,Spreading out from a central point.
2806,abridge,the set of reasons that something such as a plan or belief is based on
2807,adjure,To form an idea or principle in your mind.
2808,blanch,"To join two pieces of rope, film, etc. together at their ends in order to form one long piece."
2809,coterie,"To replace something, especially something older or more old-fashioned."
2810,daedal,the extra energy or effectiveness that people or businesses create when they combine their efforts
2811,deism,"A copy of a drawing or pattern made by drawing over it through a piece of thin, transparent paper."
2812,duplicity,To move or travel through an area.
2813,extirpate,"To make a book, play, or piece of writing shorter by removing details and information that is not important."
2814,fallacy,To ask or order someone to do something.
2815,finesse,"To turn pale, for example because you are shocked."
2816,fledgling,"A small group of people with shared interests, often one that does not want other people to join them."
2817,immaterial,Ingenious and complex in design or function; intricate.
2818,jargon,"The belief in a single god who does not act to influence events, and whose existence has no connection with religions, religious buildings, or religious books, etc."
2819,leitmotif,"Dishonest talk or behaviour, especially by saying different things to two people."
2820,listless,To remove or destroy something completely.
2821,conformist,An idea that a lot of people think is true but is in fact false.
2822,nonplussed,Great skill or style.
2823,pachyderm,A young bird that has grown feathers and is learning to fly.
2824,paroxysm,"Not important, or not relating to the subject you are thinking about."
2825,proselytize,"Special words and phrases that are used by particular groups of people, especially in their work."
2826,pungent,"a tune that is repeated several times in a piece of music and represents a particular character or situation; something that is seen or heard very many times and so becomes a typical feature of a place, time, or person"
2827,putrefy,Having no energy and enthusiasm and unwilling to do anything needing effort.
2828,salubrious,behaving in a way that most people think is correct or suitable
2829,satrap,so surprised and confused that you do not know what to do or say
2830,serried,"A group of large mammals that includes elephants, rhinoceroses, and hippopotamuses."
2831,supple,"A sudden and powerful expression of strong feeling, especially one that you cannot control."
2832,surcease,To try to persuade someone to change their religious or political beliefs or way of living to your own.
2833,syllogism,"Describes a very strong smell or taste, sometimes one that is unpleasantly strong."
2834,transfix,"To decay, producing a strong, unpleasant smell."
2835,transitory,"Describes a place that is pleasant, clean, and healthy to live in."
2836,tumid,A subordinate bureaucrat or official
2837,zealot,"Pressed closely together, usually in lines."
2838,ad nauseam,Bending or able to be bent easily; not stiff.
2839,maintain,To bring or come to an end; stop.; Cessation.
2840,aggrieved,"a statement that consists of three facts, the third of which is proved by the first two"
2841,antediluvian,"To make a person or animal unable to move or stop looking at something because they are so interested, surprised, or frightened."
2842,canard,Lasting for only a short time.
2843,cortege,Swollen; distended. Used of a body part or organ.; Overblown; bombastic
2844,descry,"A person who has very strong opinions about something, and tries to make other people have them too."
2845,distend,"If someone discusses something __ __, they talk about it so much that it becomes very boring."
2846,drowsy,To declare to be true; affirm
2847,dupe,Unhappy and angry because of unfair treatment.
2848,eject,"before the great flood, ancient"
2849,epicene,"a false story or piece of information, especially one that is intended as a joke or to make someone stop respecting someone"
2850,evince,A slowly moving line of people or cars at a funeral.
2851,extravagant,to catch sight of; To discover by careful observation or scrutiny; detect:
2852,fauna,(usually of the stomach or other part of the body) to swell and become large (as if) by pressure from inside.
2853,feckless,feeling that you want to sleep
2854,flicker,"To deceive someone, usually by making that person do something that they did not intend to do."
2855,fustian,To force someone to leave a particular place.
2856,gainsay,"Belonging to both sexes, or characteristic of the opposite sex."
2857,galvanize,To make something obvious or show something clearly.
2858,gestalt,"Spending too much money, or using too much of something."
2859,gleeful,All the animals that live wild in a particular area.
2860,hidebound,Weak in character and lacking determination.
2861,imbroglio,"if a flame or light flickers, it does not burn evenly, or it goes on and off"
2862,incisive,"A thick, rough cotton cloth that lasts for a long time.; pompous or pretentious speech or writing"
2863,ineffable,To refuse to accept something as the truth.
2864,infamy,"To cause someone to suddenly take action, especially by shocking or exciting them in some way."
2865,instructive,"a whole thing that is different from all its parts, and has qualities that are not present in any of its parts by themselves"
2866,intrepid,"happy and excited, often because of someone else's bad luck"
2867,inundate,"Having fixed opinions and ways of doing things and not willing to change or be influenced, especially by new or modern ideas."
2868,irreverent,"An unwanted, difficult, and confusing situation, full of trouble and problems."
2869,lecherous,Expressing an idea or opinion in a clear and direct way that shows good understanding of what is important.
2870,lope,"Causing so much emotion, especially pleasure, that it cannot be described."
2871,luscious,The quality of being famous for something considered bad.
2872,miasma,giving useful information about something
2873,milieu,Extremely brave and showing no fear of dangerous situations.
2874,muckraking,To give someone so much work or so many things that they cannot deal with it all.
2875,muse,"Not showing the expected respect for official, important, or holy things.; Critical of what is generally accepted or respected; satirical"
2876,mélange,(especially of men) showing a strong sexual interest in someone.
2877,officious,"(of a person or animal) to run taking long, relaxed steps."
2878,onus,Having a pleasant sweet taste or containing a lot of juice.; Having strong sensual or sexual appeal; seductive.; Richly appealing to the senses or the mind
2879,orderly,An unpleasant fog that smells bad.
2880,paralogism,"The people, physical, and social conditions and events that provide the environment in which someone acts or lives."
2881,pathos,"The activity, especially by newspapers and reporters, of trying to find out unpleasant information about people or organizations in order to make it public."
2882,pique,To think about something carefully and for a long time.
2883,protean,"A mixture, or a group of different things or people."
2884,quibble,Too eager to tell people what to do and having too high an opinion of your own importance.
2885,quisling,"if the __ is on someone to do something, it is their responsibility or duty to do it"
2886,raffish,correctly or tidily arranged or organized
2887,rebuff,A fallacious or illogical argument or conclusion.
2888,sardonic,"The power of a situation, piece of writing, work of art or person to cause feelings of sadness, especially because of sympathy."
2889,senescent,"A feeling of anger, especially caused by damage to your feeling of being proud of yourself."
2890,sequacious,often changing and becoming very different
2891,subservient,"To argue about, or say you disapprove of, something that is not important."
2892,terse,A person who helps an enemy that has taken control of his or her country.
2893,timorous,"Not following usual social standards of behaviour or appearance, especially in a careless and attractive way."
2894,tor,"To refuse to accept a helpful suggestion or offer from someone, often by answering in an unfriendly way."
2895,unfeeling,"Showing little respect in a humorous but unkind way, often because you think that you are too important to consider or discuss a matter."
2896,usufruct,Growing old; aging.
2897,vehement,(of a person) lacking independence or originality of thought.; slavish
2898,veneer,"Willing to do what other people want, or considering your wishes as less important than those of other people."
2899,vicarious,"Using few words, sometimes in a way that seems rude or unfriendly."
2900,voracious,Nervous and without much confidence.
2901,whimsical,a hill that has rocks on top of it
2902,winsome,Not feeling sympathy for other people's suffering.
2903,zeitgeist,the right to enjoy the use and advantages of another's property short of the destruction or waste of its substance.
2904,ab initio,"Expressing strong feelings, or shown by strong feelings or great energy or force."
2905,construct,"A thin layer of decorative wood or plastic used to cover a cheaper material.; A deceptive, superficial show; a façade"
2906,consortium,"Experienced as a result of watching, listening to, or reading about the activities of other people, rather than by doing the activities yourself."
2907,verbatim,"Very eager for something, especially a lot of food."
2908,obfuscate,"Unusual and strange in a way that might be funny or annoying.; made or done for fun, not seriously"
2909,workload,"Attractive and pleasing, with simple qualities, sometimes like those a child has."
2910,adumbrate,"the ideas, beliefs, and interests that are typical of most people during a particular time in history and are expressed in the culture of that time"
2911,atrabilious,from the beginning
2912,bewilder,"an idea or theory containing various conceptual elements, typically one considered to be subjective and not based on empirical evidence."
2913,chary,An organization of several businesses or banks joining together as a group for a shared purpose.
2914,clout,Using exactly the same words as were originally used.
2915,comport,"To make something less clear and harder to understand, especially intentionally."
2916,deciduous,"The amount of work to be done, especially by a particular person or machine in a period of time."
2917,defenestration,"To give only the main facts and not the details about something, especially something that will happen in the future."
2918,deference,Inclined to melancholy.
2919,etiolate,to make someone feel confused
2920,furtive,"Uncertain and frightened to take risks, or unwilling to take action."
2921,garrulous,"To hit someone or something with the hand or with a heavy object.; the authority to make decisions, or the power to influence events"
2922,laconic,To behave in a particular way.
2923,malapropism,____ trees lose all their leaves each autumn. Trees that keep their leaves all year round are called evergreen.
2924,mien,An act of throwing someone or something out of a window.
2925,moot,behaviour that shows you respect someone and are willing to accept their opinion or decision
2926,nabob,To cause (a plant) to develop without chlorophyll by preventing exposure to sunlight.; To make weak by stunting the growth or development of.
2927,nascent,"(of people) behaving secretly and often dishonestly, or (of actions) done secretly and often dishonestly."
2928,nimbus,"Having the habit of talking a lot, especially about things that are not important."
2929,nub,Using very few words to express what you mean.
2930,obviate,"The wrong use of one word instead of another word because they sound similar to each other, with results that are unintentionally funny."
2931,panegyric,"A person's appearance, especially the typical expression on their face."
2932,prevaricate,To suggest something for discussion.
2933,profligate,A rich or powerful person.
2934,puissance,"Only recently formed or started, but likely to grow larger quickly."
2935,surmise,Dark grey cloud that often produces rain or snow.; an atmosphere that surrounds a person or thing
2936,trite,The most important or basic part of something.; A protuberance or knob.
2937,truculent,"To remove a difficulty, especially so that action to deal with it becomes unnecessary."
2938,vacuous,A speech or piece of writing that praises someone very much and does not mention anything bad about them.
2939,vestige,To avoid telling the truth or saying exactly what you think.
2940,éclat,Spending money in a way that wastes it and is not wise.
2941,acrimonious,Power; might.
2942,apostasy,"To guess something, without having much or any proof."
2943,austere,Expressed too often to be interesting or seem sincere.
2944,bacchanalian,Unpleasant and likely to argue a lot.
2945,behemoth,Not expressing or showing intelligent thought or purpose.
2946,callous,"A small part or amount of something larger, stronger, or more important that still exists from something that existed in the past."
2947,compendium,very great success that everyone knows about
2948,miscellaneous,"Full of anger, arguments, and bad feeling."
2949,defalcate,The act of giving up your religious or political beliefs and leaving a religion or a political party.
2950,dilettante,"Very simple and without comfort or unnecessary things, especially because of severe limits on money or goods."
2951,embellish,"(especially of a party) involving a lot of drinking of alcohol, uncontrolled behaviour, and possibly sexual activity."
2952,esoteric,Something that is extremely large and often extremely powerful.
2953,exacting,"Unkind, cruel, and without sympathy or feeling for other people."
2954,fleeting,"A short but complete account of a particular subject, especially in the form of a book."
2955,fodder,Consisting of a mixture of various things that are not usually connected with each other.
2956,grandiose,To misuse funds; embezzle.
2957,half-hearted,"A person who is or seems to be interested in a subject, but whose understanding of it is not very deep or serious."
2958,indecent,To make something more beautiful or interesting by adding something to it.
2959,inveterate,"Very unusual and understood or liked by only a small number of people, especially those with special knowledge."
2960,judicious,"Demanding a lot of effort, care, or attention."
2961,magnanimous,Short or quick.
2962,offal,"Food that is given to cows, horses, and other farm animals."
2963,pariah,"Larger and containing more detail than necessary, or intended to seem important or great."
2964,pastiche,Showing no enthusiasm and interest.
2965,patina,"Morally offensive, especially in a sexual way."
2966,peevish,Someone who does something very often and cannot stop doing it.
2967,percipient,Having or showing reason and good judgment in making decisions.
2968,perquisite,Very kind and generous towards an enemy or someone you have defeated.
2969,provenance,"The organs inside an animal, such as the brain, the heart, and the liver, eaten as food.; Refuse; rubbish."
2970,prurient,"A person who is not accepted by a social group, especially because he or she is not liked, respected, or trusted."
2971,quixotic,"A dramatic, literary, or musical piece openly imitating the previous works of other artists, often with satirical intent."
2972,servile,"A thin surface layer that develops on something because of use, age, or chemical action."
2973,slovenly,"easily annoyed, especially by things that are not important"
2974,somnolent,"Having the power of perceiving, especially perceiving keenly and readily."
2975,stingy,a perk (=an extra benefit) that you get from your job
2976,urbane,The place of origin of something.
2977,vitiate,Too interested in the details of another person's sexual behaviour.; involving sex in an unpleasant way
2978,adventitious,Having or showing ideas that are different and unusual but not practical or likely to succeed.
2979,glorify,Too eager to serve and please someone else in a way that shows you do not have much respect for yourself.
2980,grovel,Untidy and dirty.
2981,incite,"Almost sleeping, or causing sleep."
2982,malaise,Unwilling to spend money.
2983,meddlesome,"(especially of a man) confident, comfortable, and polite in social situations."
2984,munificent,To destroy or damage something.
2985,parvenu,Not expected or planned.
2986,piquant,to make someone or something seem more impressive than they really are
2987,termagant,To behave with too much respect towards someone to show that you are very eager to please them.
2988,unutterable,To encourage someone to do or feel something unpleasant or violent.
2989,vitriolic,"A general feeling of being ill or having no energy, or an uncomfortable feeling that something is wrong, especially with society, and that you cannot change the situation."
2990,odyssey,"Often getting involved in situations where you are not wanted, especially by criticizing in a damaging or annoying way."
2991,rubric,Very generous with money.
2992,saturnine,Someone from a low social position who has suddenly become rich or successful.
2993,scotch,"Interesting and exciting, especially because of being mysterious."
2994,simper,A woman who argues noisily to get or achieve what she wants.
2995,slatternly,Too bad to be expressed in words; extreme.
2996,stalwart,____ language or behaviour is cruel and full of hate
2997,stationary,a long journey during which many things happen
2998,phlegmatic,"A set of instructions , especially on an exam paper , usually printed in a different style or colour .; a heading on a document."
2999,pivotal,Serious and unfriendly .
3000,pout,To prevent something from being believed or being done.
3001,privation,To smile in a silly or annoying way.
3002,propinquity,a ___ woman looks untidy or dirty
3003,pulchritude,"Loyal , especially for a long time ; able to be trusted ."
3004,punctilious,"Not moving , or not changing ."
3005,quotidian,Describes someone who doesn't usually get emotional or excited about things.
3006,repartee,extremely important and affecting how something develops
3007,rile,"To push the lower lip forward to show you are annoyed , or to push both lips forward in a sexually attractive way."
3008,roundabout,A lack of the basic things that are necessary for an acceptable standard of living .
3009,sang-froid,"the fact of being near to someone or something, or closely related to or very much like someone"
3010,savant,"Beauty , especially a woman's beauty."
3011,shibboleth,Very careful to behave correctly or to give attention to details .
3012,spendthrift,ordinary and not unusual or surprising
3013,squalid,Quick and usually funny answers and remarks in conversation .
Unnamed: 0,word,meaning
61,appeal,"To ask the public for something such as money, information, or help."
62,regard as,To consider or have an opinion about something or someone.
63,nocturnal,Happening in or active during the night.
64,rim,"The outer, often curved or circular, edge of something."
65,jagged,Rough and with sharp points.
66,sketch,"A simple, quickly-made drawing that does not have many details."
67,landmark,"A building or place that is easily recognized, especially one that you can use to judge where you are."
68,in relation to,in connection with
69,cruise,A journey on a large ship for pleasure.
70,cot,A small bed for a baby or young child with high bars around the sides.
71,niggle,"To worry someone slightly, usually for a long time."
72,pretension,A claim or belief that you can succeed or that you are important or have serious value.
73,spouse,A person's husband or wife.
74,convey,"To express a thought, feeling, or idea so that it is understood by other people."
75,circumscribe,To limit something; to limit narrowly; restrict.
76,heyday,The most successful or popular period of someone or something.
77,single-handed,Without any help from anyone else.
78,instalment,"One of several parts into which a story, plan, or amount of money owed has been divided."
79,garret,A very small uncomfortable room at the top of a house.
80,clerk,"A person who works in an office, dealing with records."
81,rickety,In bad condition and therefore weak and likely to break.
82,to hand,In one's possession; within easy reach.
83,vicissitude,One of the sudden or unexpected changes or shifts often encountered in one's life.
84,perpetual,Continuing for ever in the same way.
85,patronage,The support given to an organization by someone.
86,sorrow,A feeling of great sadness.
87,eccentric,"Strange or unusual, sometimes in a humorous way."
88,ascertain,To discover something; to make certain of something.
89,confer,To exchange ideas on a particular subject; to give something such as authority or an honour to someone.
90,prevail,To be greater in strength or influence; triumph; to be most common or frequent.
91,nurture,"To take care of, feed, and protect someone or something."
92,distaste,A dislike of something that you find unpleasant or unacceptable.
93,administer,To control the operation or arrangement of something.
94,writhe,To make large twisting movements with the body.
95,assortment,A group of different types of something.
96,expletive,An exclamation or swearword.
97,denounce,To criticize something or someone strongly and publicly.
98,pose,To set forth in words; propound; to put forward; present.
99,baulk,To be unwilling to do something or to allow something to happen.
100,reluctant,Unwilling; disinclined; exhibiting or marked by unwillingness.
101,revulsion,"A strong, often sudden, feeling that something is extremely unpleasant."
102,obedient,"Doing, or willing to do, what you have been told to do by someone in authority."
103,discrepancy,A difference between two things that should be the same.
104,fluster,To make or become nervous or upset.
105,pent-up,Not given expression; repressed.
106,trait,"A distinguishing feature, as of a person's character."
107,in essence,Relating to the most important characteristics or ideas of something.
108,elucidate,To explain something or make something clear.
109,exaggerate,"To make something seem larger, more important."
110,disjunction,The act of disjoining or the condition of being disjointed.
111,lopsided,"Heavier, larger, or higher on one side than on the other."
112,overstate,To state in exaggerated terms.
113,altruistic,"Showing a wish to help or bring advantages to others, even if it results in disadvantage for yourself."
114,distort,"To change something from its natural, or intended meaning or condition."
115,sanitation,The development and application of sanitary measures for the sake of cleanliness.
116,menace,Something that is likely to cause harm.
117,havoc,Widespread destruction; devastation.
118,mould,To form into a particular shape; give shape to.
119,constituent,One of the parts that a substance or combination is made of.
120,impetus,A force that helps something to happen or develop more quickly.
121,pragmatic,Involving or emphasizing practical results rather than theories and ideas.
122,dwindle,To become gradually less or smaller over a period of time until almost nothing remains.
123,amass,To collect a lot of something such as money or information over a period of time.
124,patent,The official legal right to make or sell an invention for a particular number of years.
125,malleable,Describes a substance that is easily changed into a new shape.
126,tray,"A flat object, usually with raised edges, used for carrying food and drinks."
127,taper,"To become gradually narrower at one end, or to make something do this."
128,disdain,The feeling that someone or something is not important and does not deserve any respect.
129,germ,A very small organism that causes disease.
130,relish,To get great pleasure or satisfaction from something.
131,dazzle,"If light dazzles you, it makes you unable to see for a short time."
132,drab,Not colourful or interesting.
133,despise,To hate someone or something and have no respect for them.
134,pedigree,A list of the parents and other relations of an animal.
135,ludicrous,Stupid or unreasonable and deserving to be laughed at.
136,incongruous,Unusual or different from what is around or from what is generally happening.
137,apt,Suitable or right for a particular situation.
138,appease,To give your opponents what they want.
139,scuffle,A small fight that lasts for a short time and is not very violent.
140,pant,"To breathe very loudly with your mouth open, for example when you have been running or exercising."
141,abrupt,"Sudden and unexpected, often in an unpleasant way."
142,shudder,To shake suddenly with very small movements because of a very unpleasant thought or feeling.
143,prominence,The state of being important or well known.
144,empirical,Based on real experience or scientific experiments rather than on theory.
145,treatise,A formal piece of writing that considers and examines a particular subject.
146,whereas,Compared with the fact that; but.
147,foster,To help something to develop over a period of time.
148,inaugurate,To start or introduce something new and important.
149,formative,Relating to the time when someone or something is starting to develop in character.
150,admission,Permission to join a club or become a student at a college or university.
151,faculty,A department or group of departments in a university.
152,peer,"A person who has equal standing with another or others, as in rank, class, or age."
153,cohort,"A group of people who share a characteristic, usually age."
154,versatile,Able to change easily from one activity to another or able to be used for many different purposes.
155,step up to the plate,To move into a position where one is ready to do a task; step up to the plate.
156,astounding,Very surprising or shocking.
157,innumerable,Too many to be counted.
158,veracity,"The quality of being true, honest, or accurate."
159,insight,"A clear, deep, and sometimes sudden understanding of a complicated problem or situation."
160,pantheon,"A small group of people who are the most famous, important, and admired in their particular area of activity."
161,tenet,One of the principles on which a belief or theory is based.
162,affront,A remark or action intended to insult or offend someone.
163,acute,Very serious or severe.
164,dismal,Sad and without hope.
165,excess,"An amount that is more than acceptable, expected, or reasonable."
166,implore,"To ask someone to do or not do something in a very sincere, emotional, and determined way."
167,curl up,To sit or lie in a position with your arms and legs close to your body.
168,garner,"To collect something, usually after much work or with difficulty."
169,testament,"proof, evidence, testimony"
170,play out,Proceed to the end.
171,win hands down,be outright winner
172,falter,"To lose strength or purpose and stop, or almost stop."
173,conceive,To imagine something.
174,novel,"Strikingly new, unusual, or different."
175,crew,"A group of people who work together, especially all those who work on and operate a ship, aircraft, etc.."
176,dulcet,Describes sounds that are soft and pleasant to listen to.
177,precarious,In a dangerous state because not safe or firmly fixed.
178,satnav,Abbreviation for satellite navigation.
179,cattle,Cows and bulls that are kept for their milk or meat.
180,graze,To eat grass growing in a field.
181,covert,"Secretly, or in a hidden way."
182,infringe,"to break a law, rule, or agreement"
183,wade,To walk through water with difficulty because of the pressure of the water against your legs.
184,hapless,Unlucky and usually unhappy.
185,trail,"A path through the countryside, often made or used for a particular purpose."
186,foil,To prevent from being successful; thwart.
187,enforce,"To make people obey a law, or to make a particular situation happen or be accepted."
188,snoop,"To look around a place secretly, in order to discover things or find out information about someone or something."
189,uphold,"To defend or keep a principle or law, or to say that a decision that has already been made, especially a legal one, is correct."
190,fond of,To have a great liking for someone or something; to like doing something.
191,premise,An idea or theory on which a statement or action is based.
192,clank,"To make a short loud sound like that of metal objects hitting each other, or to cause something to make this sound."
193,hyperbole,"A way of speaking or writing that makes someone or something sound bigger, better, more, etc. than they are."
194,meld,To (cause something to) combine with something else.
195,prime,To make ready; prepare
196,surveillance,"The careful watching of a person or place, especially by the police or army, because of a crime that has happened or is expected."
197,unveil,to announce something officially that was previously a secret
198,deter,to make someone decide not to do something
199,drone,A pilotless aircraft operated by remote control.
200,subtle,"not obvious, and therefore difficult to notice"
201,depict,To represent or show something in a picture or story.
202,proponent,A person who speaks publicly in support of a particular idea or plan of action.
203,proliferation,a sudden increase in number or amount
204,prone,Likely to suffer from an illness or show a particular negative characteristic.
205,belligerent,very unfriendly and angry
206,stipend,A fixed regular income.
207,underpin,"To give support, strength, or a basic structure to something."
208,means,A method or way of doing something.
209,patchy,Only existing or happening in some parts.
210,constellation,Any of the groups of stars in the sky that seem from Earth to form a pattern and have been given names.
211,sheer,"Used to emphasize how very great, important, or powerful a quality or feeling is; nothing except."
212,equator,An imaginary line drawn around the middle of the Earth an equal distance from the North Pole and the South Pole.
213,circumference,The distance measured around the edge of a circle or a round object or area.
214,rig,a tall structure fitted with equipment for getting oil or gas out of the ground or from under the bottom of the sea
215,ubiquitous,Seeming to be everywhere.
216,devoid,To lack or be without something that is necessary or usual.
217,impose,"To officially force a rule, tax, punishment, etc. to be obeyed or received."
218,yearn,"To wish very strongly, especially for something that you cannot have or something that is very difficult to have."
219,tendril,"A thin, stem-like part of a climbing plant that holds on to walls or other plants for support."
220,oncoming,Moving towards you or coming nearer.
221,superstition,"Belief that is not based on human reason or scientific knowledge, but is connected with old ideas about magic, etc.."
222,distressing,Upsetting or worrying.
223,cloud,to confuse or impair
224,rest assured,to be assured; to be certain; to be certain something will happen
225,assure,"To tell someone confidently that something is true, especially so that they do not worry."
226,carcass,The body of a dead animal.
227,gradually,Slowly over a period of time or a distance.
228,scarper,to leave a place very quickly and suddenly
229,disproportionate,"Too large or too small in comparison to something else, or not deserving its importance or influence."
230,let alone,not to mention or think of someone or something; not even to take someone or something into account
231,bear down,To advance in a threatening manner.
232,fragrance,A sweet or pleasant smell.
233,whiff,"A slight smell, carried on a current of air."
234,lag,To move or make progress so slowly that you are behind other people or things.
235,siren,"a piece of equipment that makes a loud sound, used for warning people"
236,hum,to make musical sounds with your lips closed
237,arouse,To cause someone to have a particular feeling.
238,heighten,"To increase or make something increase, especially an emotion or effect."
239,impair,To spoil something or make it weaker so that it is less effective.
240,screen out,to prevent something that is dangerous or unsuitable from coming in
241,tweak,To pull and twist something with a small sudden movement.
242,revise,"To look at or consider again an idea, piece of writing, etc. in order to correct or improve it."
243,spearmint,"A strong flavouring with a fresh taste, or the plant from which this flavouring comes."
244,intriguing,Very interesting because of being unusual or mysterious.
245,sedate,"quiet or slow, and not likely to shock people or attract attention"
246,olfactory,Connected with the ability to smell.
247,elevate,To raise something or lift something up.
248,airliner,A large passenger aircraft.
249,outsize,(especially of clothing) much larger than usual.
250,aviation,"The activity of flying aircraft, or of designing, producing, and keeping them in good condition."
251,herald,"To be a sign that something important, and often good, is starting to happen, or to make something publicly known, especially by celebrating or praising it."
252,ensuing,Happening after something and because of it.
253,swivel,To (cause to) turn round a central point in order to face in another direction.
254,propulsion,A force that pushes something forward.
255,aeronautics,"The science of designing, building, and operating aircraft."
256,manned,Operated or controlled by people.
257,reminiscence,stories or thoughts of past experiences
258,flap,"To wave something, especially wings when or as if flying."
259,mirage,"An image, produced by very hot air, of something that seems to be far away but does not really exist."
260,expatriate,Someone who does not live in their own country.
261,sought-after,wanted by many people but not easy to get
262,glitzy,Having a fashionable appearance intended to attract attention.
263,hassle,a situation that causes problems for you or that annoys you very much
264,Spaniard,someone from Spain
265,entrepreneur,someone who uses money to start businesses and make business deals
266,wholly,completely
267,hub,The central or main part of something where there is most activity.
268,withhold,To refuse to give something or to keep back something.
269,repercussion,"The effect that an action, event, or decision has on something, especially a bad effect."
270,wholesaler,Someone who buys and sells goods in large amounts to shops and businesses.
271,traction,The ability of a wheel or tyre to hold the ground without sliding.
272,lease,"To make a legal agreement by which money is paid in order to use land, a building, a vehicle, or a piece of equipment for an agreed period of time."
273,posh,(of places and things) expensive and of high quality.
274,worthwhile,"Useful, important, or good enough to be a suitable reward for the money or time spent or the effort made."
275,fillip,Something that causes a sudden improvement.
276,construe,"To understand the meaning, especially of other people's actions and statements, in a particular way."
277,reimburse,To pay back money to someone who has spent it for you or lost it because of you.
278,subsistence,"The state of having what you need in order to stay alive, but no more."
279,streamline,"to improve a business, organization, process etc by making it more modern or simple"
280,conveyancing,The process of moving the legal ownership of property or land from one person to another.
281,incentive,Something that encourages a person to do something.
